"StrainID","Date"
"seq1","2021-05-15"
"seq2","2021-05-05"
"seq3","2021-05-18"
"seq4","2021-05-15"
"seq5","2021-05-30"
"seq6","2021-05-24"
"seq7","2021-06-03"
"seq8","2021-05-16"
"seq9","2021-05-16"
"seq10","2021-05-20"
"seq11","2021-05-22"
"seq12","2021-05-22"
"seq13","2021-05-21"
"seq14","2021-05-15"
"seq15","2021-05-06"
"seq16","2021-05-16"
"seq17","2021-05-18"
"seq18","2021-05-20"
"seq19","2021-05-12"
"seq20","2021-05-19"
"seq21","2021-05-08"
"seq22","2021-05-20"
"seq23","2021-05-24"
"seq24","2021-05-13"
"seq25","2021-05-28"
"seq26","2021-06-01"
"seq27","2021-06-01"
"seq28","2021-05-14"
"seq29","2021-05-24"
"seq30","2021-05-27"
"seq31","2021-05-30"
"seq32","2021-06-01"
"seq33","2021-05-14"
"seq34","2021-05-21"
"seq35","2021-05-21"
"seq36","2021-05-14"
"seq37","2021-05-18"
"seq38","2021-06-02"
"seq39","2021-06-05"
"seq40","2021-05-21"
"seq41","2021-05-25"
"seq42","2021-05-26"
"seq43","2021-05-31"
"seq44","2021-05-31"
"seq45","2021-05-31"
"seq46","2021-06-07"
"seq47","2021-05-26"
"seq48","2021-05-12"
"seq49","2021-05-21"
"seq50","2021-05-13"
"seq51","2021-04-27"
"seq52","2021-05-20"
"seq53","2021-05-20"
"seq54","2021-05-20"
"seq55","2021-05-02"
"seq56","2021-05-04"
"seq57","2021-05-04"
"seq58","2021-05-07"
"seq59","2021-05-08"
"seq60","2021-05-10"
"seq61","2021-05-14"
"seq62","2021-05-14"
"seq63","2021-05-16"
"seq64","2021-05-17"
"seq65","2021-05-20"
"seq66","2021-05-24"
"seq67","2021-05-24"
"seq68","2021-05-26"
"seq69","2021-05-30"
"seq70","2021-05-30"
"seq71","2021-05-30"
"seq72","2021-06-13"
"seq73","2021-05-15"
"seq74","2021-06-14"
"seq75","2021-06-13"
"seq76","2021-05-30"
"seq77","2021-05-11"
"seq78","2021-05-05"
"seq79","2021-05-17"
"seq80","2021-05-28"
"seq81","2021-05-13"
"seq82","2021-05-12"
"seq83","2021-05-13"
"seq84","2021-05-14"
"seq85","2021-05-13"
"seq86","2021-05-16"
"seq87","2021-04-27"
"seq88","2021-05-11"
"seq89","2021-04-25"
"seq90","2021-04-30"
"seq91","2021-05-14"
"seq92","2021-05-16"
"seq93","2021-04-30"
"seq94","2021-04-27"
"seq95","2021-05-17"
"seq96","2021-05-23"
"seq97","2021-05-25"
"seq98","2021-05-26"
"seq99","2021-05-26"
"seq100","2021-05-02"
"seq101","2021-05-09"
"seq102","2021-05-24"
"seq103","2021-04-09"
"seq104","2021-04-13"
"seq105","2021-05-03"
"seq106","2021-05-04"
"seq107","2021-04-16"
"seq108","2021-04-18"
"seq109","2021-04-27"
"seq110","2021-04-18"
"seq111","2021-05-11"
"seq112","2021-04-19"
"seq113","2021-04-20"
"seq114","2021-04-20"
"seq115","2021-04-20"
"seq116","2021-05-11"
